"B
il.","Projek","Daerah","Bil Unit"
"1.","Taman Puchong Utama Jenis B, Puchong","Petaling","30"
"2.","Taman Puchong Utama Jenis C, Puchong","Petaling","30"
"3.","Pangsapuri Seri Akasia, Puchong","Petaling","30"
"4.","Pangsapuri De Bayu, Setia Alam","Petaling","30"
"5.","Pangsapuri Harmoni 1, Putra Heights","Petaling","30"
"6.","Bandar Bukit Raja Fasa 17B, Bukit Raja","Klang","50"
"7.","Emira @ TTDI Grove, Kajang","Hulu Langat","10"
"8.","Jade Hills Jenis A, Kajang","Hulu Langat","10"
"9.","Jade Hills Jenis B, Kajang","Hulu Langat","10"
"10.","Jade Hills Jenis C, Kajang","Hulu Langat","10"
"11.","Jade Hills Jenis D, Kajang","Hulu Langat","30"
"12.","Apartment Simfoni, Semenyih","Hulu Langat","17"
"13.","Rumah Bandar, Kota Puteri","Gombak","20"
"14.","Bukit Rahman Putra, Jenis A","Gombak","180"
"15.","Pangsapuri Alpinia, Dengkil","Sepang","50"
"16.","Antara Gapi, Serendah","Hulu Selangor","4"
"Jumlah","","","541"
