NEGERI,PPD,KODSEKOLAH,NAMASEKOLAH,BANTUAN,NAMABLOK,KEGUNAAN,TAHUN_BINA
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,MAKMAL ICT,Makmal Komputer,2003
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,BLOK G (GEMILANG),P & P,1990
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,BLOK D (DEDIKASI),P & P,1960
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,BLOK F (FITRAH),P & P,1990
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,ASRAMA PUTERA 1,Asrama,1997
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,ASRAMA PUTERI 2,Asrama,2003
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,ASRAMA PUTERA 2,Asrama,2003
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,BENGKEL ERT,Bengkel,1960
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,"MAKMAL  TING 1,2,3",Makmal Sains,1960
PERLIS,JPN PERLIS,REA0054,SEKOLAH MENENGAH KEBANGSAAN DATO' SHEIKH AHMAD,Sekolah Kerajaan,BLOK E (EFISYEN),P & P,1966
