
SULIT,,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,,
TAHUN 1990,,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH,
JENAYAH KEKERASAN,,,,,,,,,,,,,,,,
BUNUH,3,10,20,19,35,46,13,1,50,7,1,19,69,20,313,
SAMUN B'KAWAN B'S/API,0,1,0,2,4,5,1,0,8,1,0,1,23,0,46,
SAMUN B'KAWAN  T/B'S/API,0,4,42,18,79,101,10,6,54,5,1,10,2,2,334,
SAMUN BERSENJATAPI,1,24,98,28,161,137,12,2,111,4,0,11,54,1,644,
SAMUN TANPA B'S/API,4,81,722,446,1489,980,183,79,557,39,15,102,44,52,4793,
ROGOL,4,45,38,48,91,81,29,33,63,29,21,31,89,36,638,
MENCEDERAKAN ,15,103,254,305,355,511,164,80,280,72,50,87,194,113,2583,
JUM JEN. KEKERASAN,27,268,1174,866,2214,1861,412,201,1123,157,88,261,475,224,9351
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,57,151,381,458,735,1292,266,92,437,49,34,162,143,54,4311
PECAH RUMAH MALAM,105,778,1334,1538,1979,2968,841,477,1914,362,228,802,593,404,14323
CURI MOTOLORI / VAN,3,7,22,41,121,73,8,9,203,10,4,25,54,54,634
CURI MOTOKAR,2,50,190,206,648,426,78,40,425,10,5,63,123,43,2309
CURI MOTOSIKAL,89,473,1057,936,1996,1585,372,258,1812,250,82,461,92,470,9933
CURI BASIKAL,52,210,381,466,124,503,80,105,85,40,16,58,8,72,2200
LAIN - LAIN KECURIAN,232,1067,3038,2354,4965,4843,1066,625,2203,390,155,713,974,2802,25427
JUM JEN. HARTABENDA,540,2736,6403,5999,10568,11690,2711,1606,7079,1111,524,2284,1987,3899,59137
JUMLAH JENAYAH INDEKS,567,3004,7577,6865,12782,13551,3123,1807,8202,1268,612,2545,2462,4123,68488
,,,,,,,,,,,,,,,








,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,,
TAHUN 1991,,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH,
JENAYAH KEKERASAN,,,,,,,,,,,,,,,,
BUNUH,1,11,45,18,50,66,11,8,50,7,5,15,91,37,415,
SAMUN B'KAWAN B'S/API,6,0,0,1,14,5,1,0,6,1,0,0,24,0,58,
SAMUN B'KAWAN  T/B'S/API,0,9,49,23,81,102,14,6,44,6,0,8,4,4,350,
SAMUN BERSENJATAPI,1,27,74,18,218,124,4,8,77,4,1,4,71,1,632
SAMUN TANPA B'S/API,7,77,494,475,1620,1067,157,88,509,34,15,97,70,59,4769
ROGOL,11,50,59,50,64,111,53,42,58,29,14,41,93,31,706
MENCEDERAKAN ,15,85,210,282,430,511,160,67,233,60,45,105,182,172,2557
