SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 2000,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,2,21,24,45,63,151,20,7,73,8,6,14,88,29,551
SAMUN B'KAWAN B'S/API,,1,1,7,13,24,1,2,23,,,4,8,5,89
SAMUN B'KAWAN  T/B'S/API,,29,68,86,342,688,33,28,342,2,6,24,20,13,1681
SAMUN BERSENJATAPI,2,21,29,38,210,213,12,5,161,1,1,11,12,6,722
SAMUN TANPA B'S/API,6,211,679,905,3408,3629,277,293,2232,32,41,147,225,119,12204
ROGOL,13,110,60,91,61,222,57,43,193,50,44,75,111,80,1210
MENCEDERAKAN ,18,267,231,813,549,1438,98,168,522,122,89,221,346,222,5104
JUM JEN. KEKERASAN,41,660,1092,1985,4646,6365,498,546,3546,215,187,496,810,474,21561
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,47,479,730,861,771,3048,406,262,946,156,302,179,220,268,8675
PECAH RUMAH MALAM,120,1395,1611,2956,2031,6101,913,1011,3852,422,704,702,1000,1420,24238
CURI MOTOLORI / VAN,,46,101,118,621,1612,76,35,376,17,26,86,316,268,3698
CURI MOTOKAR,5,140,260,220,2312,2399,172,114,946,101,56,105,206,242,7278
CURI MOTOSIKAL,113,2006,2823,3686,6406,15926,889,1209,7685,907,1228,1048,422,1555,45903
CURI BASIKAL,7,32,64,226,32,187,22,82,98,2,5,20,43,76,896
LAIN - LAIN KECURIAN,163,2410,4334,5638,11267,11924,1378,2149,7842,511,773,803,2801,2888,54881
JUM JEN. HARTABENDA,455,6508,9923,13705,23440,41197,3856,4862,21745,2116,3094,2943,5008,6717,145569
JUMLAH JENAYAH INDEKS,496,7168,11015,15690,28086,47562,4354,5408,25291,2331,3281,3439,5818,7191,167130
,,,,,,,,,,,,,,,

SULIT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SULIT,,,,,,,,,,,,,,,

" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 2001,,,,,,,,,,,,,,,


KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,5,23,31,49,52,153,14,10,97,11,7,12,102,42,608
SAMUN B'KAWAN B'S/API,,7,1,6,14,18,1,1,8,,1,1,1,6,65
SAMUN B'KAWAN  T/B'S/API,,19,46,68,405,786,33,34,241,2,5,18,24,16,1697
SAMUN BERSENJATAPI,1,14,32,32,206,113,9,21,118,3,,7,3,7,566
SAMUN TANPA B'S/API,7,209,628,837,2894,3644,288,158,2115,29,46,105,258,115,11333
ROGOL,9,131,75,83,94,263,72,41,224,71,47,78,89,77,1354
MENCEDERAKAN ,29,259,253,500,622,1211,89,132,583,136,127,209,284,265,4699
JUM JEN. KEKERASAN,51,662,1066,1575,4287,6188,506,397,3386,252,233,430,761,528,20322
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,18,488,651,700,606,2406,417,234,715,142,365,168,284,255,7449
PECAH RUMAH MALAM,120,1553,1387,2390,1614,4900,882,819,3214,484,878,662,893,1207,21003
CURI MOTOLORI / VAN,3,44,95,126,721,2007,39,62,438,23,31,118,345,254,4306
CURI MOTOKAR,11,152,256,261,2687,3216,147,172,934,85,79,91,208,221,8520
CURI MOTOSIKAL,133,2332,3320,3964,6654,15323,966,1264,7496,988,1334,1199,320,1930,47223
CURI RAGUT,43,593,1967,1378,2796,2920,276,555,2745,107,224,190,191,383,14368
