Statistik Jenayah Mengikut Kertas Siasatan Tahun 2015 Di Negeri Pahang,,,,,,,,,,,,
,,,,,,,,,,,,
,BENTONG ,BERA ,C/HIGHLANDS ,JERANTUT ,KUALA LIPIS ,KUANTAN ,MARAN ,PEKAN ,RAUB ,ROMPIN ,TEMERLOH ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,
BUNUH,5,0,0,3,0,6,1,1,0,1,1,18
ROGOL,11,2,2,11,2,26,7,4,2,9,18,94
SAMUN BERKAWAN BERS/API,0,0,0,0,0,0,0,0,0,0,2,2
SAMUN BERKAWAN TANPA BERS/API,34,13,5,9,6,125,23,6,2,13,20,256
SAMUN BERSENJATAPI,0,0,0,0,0,0,0,0,0,0,0,0
SAMUN TANPA S/API,4,4,1,3,0,34,0,2,2,4,3,57
MENCEDERAKAN,46,19,7,16,11,73,18,6,15,17,22,250
JUMLAH,100,38,15,42,19,264,49,19,21,44,66,677
JENAYAH HARTABENDA :,,,,,,,,,,,,
CURI,130,47,4,46,36,265,32,33,21,62,51,727
CURI MOTOKAR,38,5,7,9,13,186,12,5,6,5,43,329
CURI MOTOSIKAL,115,43,19,65,43,787,131,74,51,103,163,1594
CURI VAN/LORI/J'BERAT,11,2,5,2,3,56,1,1,0,4,8,93
CURI RAGUT,9,5,0,5,0,16,0,3,1,1,2,42
PRC,89,34,6,53,26,283,34,63,53,80,74,795
JUMLAH,392,136,41,180,121,1593,210,179,132,255,341,3580
JUMLAH JENAYAH INDEKS,492,174,56,222,140,1857,259,198,153,299,407,4257
