GIS - Pengurusan Gunatanah Semasa bagi Institusi dan Kemudahan Masyarakat Pada Tahun 2010,,,,,,
,,,,,,
Bil.,No. Lot,Kampung,Gunatanah,Aktiviti,Kategori,Luas(hek)
1,9230,Kampung Kerupang / Nagalang,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,1.24
2,8183,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,9.0999999999999998E-2
3,8052,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Jabatan Kerajaan,2.907
4,3122,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,0.80700000000000005
5,3228,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Agensi Kerajaan,1.625
6,6759,Kampung Durian Tunjong,Institusi Dan Kemudahan Masyarakat,Keagamaan,Surau,0.122
7,755,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,3.3039999999999998
8,2563,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kegunaan Kerajaan / Badan Berkanun,Pejabat Kerajaan,2.173
9,8081,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,2.5089999999999999
10,435,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,6.0999999999999999E-2
11,8094,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,1.8360000000000001
12,1595,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,2.089
13,436,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,6.3E-2
14,437,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,6.7000000000000004E-2
15,438,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,7.0000000000000007E-2
16,439,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,7.6999999999999999E-2
17,440,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,6.2E-2
18,441,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,5.2999999999999999E-2
19,442,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,5.2999999999999999E-2
20,443,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,0.06
21,444,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,5.2999999999999999E-2
22,445,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,5.1999999999999998E-2
23,446,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,5.5E-2
24,1617,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Kesihatan,Hospital,9.3379999999999992
25,8191,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,2.214
26,8080,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,2.5419999999999998
27,0,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Islam,2.7090000000000001
28,8573,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Perkuburan,Kubur Kristian,0.48499999999999999
29,124,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,0.89200000000000002
30,2562,Pusat Bandar Labuan,Institusi Dan Kemudahan Masyarakat,Keselamatan,Kem Tentera,0.44400000000000001
31,4638,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Kesihatan,Klinik Desa,0.191
32,6282,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Agama,0.86499999999999999
33,4643,Kampung Lubuk Temiang,Institusi Dan Kemudahan Masyarakat,Pendidikan,Sekolah Rendah,2.198
