Jadual Harga Semua Rumah Mengikut Negeri,,,,,,,,,,,,,,,,
All House Price by State,,,,,,,,,,,,,,,,
INDEX Base 2010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tahun,Quarter,Malaysia,Kuala Lumpur,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,Q1,199430.91,352530.88,217922.23,154985.05714542852,207958.67,129767.79,111258.61181259959,103437.16,119524.29,131401.59,145231.66743004959,97681.464968891611,96533.82,219709.42,243246.3
2009,Q2,203511.36,360813.26,221584.05,166283.99,217624.4,130640.46,109477.88,103902.05,122053.67,138156.38,147433.96,102937.43,103080.09,231972.28,243427.74
2009,Q3,206267.96,368944.34,228034.34,160104.25422492402,219988.42,130599.48,108088.46,108599.71,123288.29,136065.89000000001,153348.46567594438,107935.99256147539,107339.69,232904.04,234335.23
2009,Q4,208670.32,377405.99,233221.13,154018.42000000001,223494.07,129027.2,112737.24,106226.38,125802.84,134332.21,153033.25814115311,110911.95842213114,112204.49,238697.77,246710.08
2010,Q1,209762.58,379440.7,234172.04,161790.7880392017,223213.8,132265.92000000001,112127.12,104875.66,126812.8,132844.15,158549.39000000001,111713.18,108613.17,247677.28,244294.68
2010,Q2,216561.45,394927.92,241504.68,159175.98742442674,226475.17,133205.6,113568.44,108888.08,130106.13,135645.31,160846.84128440366,106025.69,110588.65,249796.39,254865.03
2010,Q3,220153.63,400492.66,247922.62,164367.74,226043.19,136186.9,115099.15,111934.28,132173.74,137357.78,163209.91926605505,112320.44,112517.33,257811.51,263935.34999999998
2010,Q4,224951.92,410511.16,255006.07,163208.95999999999,233157.57,138768.25,120472.18,115334.12,135194.75,140338.44,171559.46146788992,120240.64241103282,110048.57439446368,267141.36,258565.46
2011,Q1,229560.62,420487.9,262110.79,164472.03,235532.22716724145,147643.07999999999,123527.02,112194.5,134099.13,142866.35,171717,121561.11458221341,120966.09169550173,270116.34999999998,265808.96000000002
2011,Q2,235705.81,443054.53,266857.87,168733.66411657559,241901.01,146567.67999999999,126857.14,114149.94,141092.23000000001,145192.66,181169.31488698363,115594.84,122712.89446366784,278193.51,270673.03999999998
2011,Q3,241625.56,454315.85,274278.8,171387.2,246856.11239550626,149223.51999999999,128701.85,116455.19,140203.35999999999,160279.57999999999,185265.31678877628,121040.65500917431,126206.5,295449.08,277790.5
2011,Q4,250288.78,468526.87,285666.26,175692.58,258074.29,153062.41587814514,132870.57999999999,117894.41,143092.37,162156.71,191251.78110678098,127790.55921100918,130231.89,306304.78999999998,275161.78999999998
2012,Q1,258613.72,495240.86,293788.51,176895.86,262174.99,162836.51650893345,135806.56,117036.4578252957,144131.20000000001,166544.21,195190.2444738893,120468.6292293578,117585.02,309831.93,298270.65999999997
2012,Q2,267359.21000000002,486716.24,315746.73,185408.86,274360.68,158643.53,137165.75,121228.15,144081.76,175847.12,202121.94,123099.94781651376,131863.28,315154.53000000003,297040.03000000003
2012,Q3,273552.3,499872.73,322794.34000000003,189177.82,281704.96999999997,158378.03,143476.85999999999,119303.14018691589,149686.04999999999,170452.57,205489.99,124701.62,127741.49,337383.59,295657.15000000002
2012,Q4,286011.23,551142.51,319900.78999999998,212351.15346733667,289682.25,164216.74,147945.70000000001,125367.53271028037,150783.60999999999,178873.52,208647.33,135289.66753488375,131175.79,330198.03999999998,329204.67
