,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1980,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,15,34,41,23,27,9,8,28,7,2,14,44,27,279
SAMUN B'KAWAN B'S/API,0,4,13,3,2,4,2,0,3,0,0,1,8,0,40
SAMUN B'KAWAN  T/B'S/API,0,11,92,15,49,79,18,3,38,1,2,15,10,9,342
SAMUN BERSENJATAPI,0,52,135,36,67,42,8,8,56,4,2,14,23,2,449
SAMUN TANPA B'S/API,0,97,894,636,759,589,217,83,438,17,9,89,28,50,3906
ROGOL,0,26,21,43,31,57,18,15,45,17,17,21,30,27,368
MENCEDERAKAN ,0,137,223,283,106,236,154,54,316,64,33,105,129,179,2019
JUM JEN. KEKERASAN,0,342,1412,1057,1037,1034,426,171,924,110,65,259,272,294,7403
JENAYAH HARTABENDA,,,,,,,,,,,,,,,
PECAH RUMAH SIANG,0,90,562,847,622,1191,287,154,877,88,125,226,154,27,5250
PECAH RUMAH MALAM,0,1198,1304,2095,2058,2039,999,488,1997,347,458,872,481,82,14418
CURI MOTOLORI / VAN,0,10,3,20,74,27,29,13,44,0,5,14,13,2,254
CURI MOTOKAR,0,31,115,206,391,234,49,19,150,8,8,35,60,76,1382
CURI MOTOSIKAL,0,856,757,690,959,926,357,135,1166,165,119,321,35,160,6646
CURI BASIKAL,0,813,1326,1488,416,622,169,238,640,193,201,254,21,878,7259
LAIN - LAIN KECURIAN,0,2132,3499,3662,4507,3248,1391,728,3243,403,534,1065,909,2812,28133
JUM JEN. HARTABENDA,0,5130,7566,9008,9027,8287,3281,1775,8117,1204,1450,2787,1673,4037,63342
JUMLAH JENAYAH INDEKS,0,5472,8978,10065,10064,9321,3707,1946,9041,1314,1515,3046,1945,4331,70745
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
" KES JENAYAH INDEK SELURUH MALAYSIA",,,,,,,,,,,,,,,
TAHUN 1981,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
KONTINJEN,PL,KD,PP,PK,KL,SL,NS,ML,JH,KN,TR,PH,SB,SR,JUMLAH
JENAYAH KEKERASAN,,,,,,,,,,,,,,,
BUNUH,0,14,28,22,30,27,8,3,35,9,3,19,42,18,258
SAMUN B'KAWAN B'S/API,0,7,9,2,5,9,4,0,4,1,0,0,10,0,51
SAMUN B'KAWAN  T/B'S/API,0,8,85,30,76,63,25,4,27,0,3,23,1,9,354
SAMUN BERSENJATAPI,0,50,79,42,81,67,19,8,55,11,3,10,28,3,456
