Statistik Jenayah Mengikut Kertas Siasatan Tahun 2017,,,,,,,,,,,,
,,,,,,,,,,,,
,BENTONG ,BERA ,C/HIGHLANDS ,JERANTUT ,KUALA LIPIS ,KUANTAN ,MARAN ,PEKAN ,RAUB ,ROMPIN ,TEMERLOH ,Jumlah
JENAYAH KEKERASAN :,,,,,,,,,,,,
BUNUH,2,2,0,1,1,4,0,0,2,2,2,16
ROGOL,7,11,1,6,5,81,13,13,6,12,8,163
SAMUN BERKAWAN BERS/API,0,0,0,0,1,0,0,0,0,0,0,1
SAMUN BERKAWAN TANPA BERS/API,6,14,2,10,1,124,7,9,0,6,22,201
SAMUN BERSENJATAPI,0,0,0,0,0,0,0,0,0,0,0,0
SAMUN TANPA S/API,8,2,0,0,0,61,5,0,2,4,5,87
MENCEDERAKAN,24,11,10,14,5,54,11,11,12,18,18,188
JUMLAH,47,40,13,31,13,324,36,33,22,42,55,656
JENAYAH HARTABENDA :,,,,,,,,,,,,
CURI,109,27,17,54,42,248,63,28,22,49,48,707
CURI MOTOKAR,12,3,10,11,2,125,5,4,5,11,28,216
CURI MOTOSIKAL,72,36,23,32,32,573,77,63,45,77,143,1173
CURI VAN/LORI/J'BERAT,1,2,1,4,6,29,4,0,4,2,3,56
CURI RAGUT,0,0,0,0,1,1,0,1,1,1,0,5
PRC,86,32,12,61,29,344,69,42,26,42,51,794
JUMLAH,280,100,63,162,112,1320,218,138,103,182,273,2951
JUMLAH JENAYAH INDEKS,327,140,76,193,125,1644,254,171,125,224,328,3607
