,,,,,,
"STATISTIK KES JENAYAH HARTA BENDA MENGIKUT KATEGORI DI NEGERI KEDAH TAHUN 2014-2017
STATISTICS ON PROPERTY CRIMINAL CASES BY CATEGORIES IN KEDAH YEAR 2014-2017",,,,,,
,,,,,,
Tahun,"KATEGORI JENAYAH 
CATEGORIES OF CRIME",,,,,
,"Pecah Rumah
Burglary","Curi Lori, Van, Jentera Berat
Lorries & Vans Theft","Curi Motokar
Motorcars Theft","Curi Motorsikal
Motorcycles Theft","Ragut
Snatch Theft","Lain-lain Kecurian
Other"
2014,1323,92,562,3656,104,1007
2015,1499,106,574,3120,101,1100
2016,1323,110,497,3132,99,1081
2017,1357,81,377,2845,29,1079
,,,,,,
,,,,,,
Sumber : Ibu Pejabat Polis Diraja Malaysia Kontinjen Negeri Kedah Darul Aman,,,,,,
"Source  : Royal Malaysian Police Force, Kedah State Contingent Headquarters",,,,,,
