,Bil,NEGERI,PROJEK,PEMAJU / PELIKUIDASI,"BIL. UNIT
 DIBINA",BIL. UNIT DIJUAL,TARIKH SEPATUT SIAP,TARIKH TERBENGKALAI
,1,Johor,"Taman Mewah Jaya,Plentong",Kong Sun Construction Sdn Bhd,199,163,2005,31.12.2005
,2,Johor,"Taman Tunku Abdul Rahman, Segamat.","Vital Landscape Sdn Bhd                                     
(digulung : 21.9.2015)                                       
Pelikuidasi : Jabatan Insolvensi Muar.       ",90,63,2005,16.3.2012
,3,Johor,"Taman Cahaya Perserai, Batu Pahat.","Kitaremas Development Sdn Bhd (digulung : 20/10/17)                                         
- Zakaria Augustine kang Consultancy.",22,6,21.1.2011,1.12.2016
,4,Kedah,"Palma Ria Kondominium, Kuah, Langkawi.","PRJ (M) Sdn Bhd                   
(digulung : 14.12.2006)     
- Hall Chadwick Corporate Advisory Sdn Bhd                                                          
- Vista Canggih Development.",108,30,1999,31.1.2004
,5,Kelantan,"Taman MJ Kemuning 2,Machang",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)'- MdI W.P K.L(digulung : 26.10.2016)'- Kencana Advisory Corporate,46,30,21.7.2008,30.7.2015
,6,Kelantan,"Taman MJ Desa Kusial, Tanah Merah",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)''- MdI W.P K.L' (digulung : 26.10.2016) 'Kencana Advisory Corporate,34,34,20.9.2010,1.12.2016
,7,Kelantan,"Taman Perisai Kemuning, Machang",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)'- MdI W.P K.L '(digulung : 26.10.2016) 'Kencana Advisory Corporate,20,20,21.7.2008,1.12.2016
,8,Kelantan,"Taman MJ Selasih,Pasir Mas",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)'- MdI W.P K.L  '(digulung : 26.10.2016)'Kencana Advisory Corporate,39,39,21.10.2008,1.12.2016
,9,Kelantan,"Taman MJ Melor Jaya, Kota Bharu",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)'- MdI W.P K.L  '(digulung : 26.10.2016)'Kencana Advisory Corporate,90,90,18.6.2008,1.12.2016
,10,Kelantan,"Taman MJ Sri Bistari, Machang",MJ Land Properties Sdn Bhd(digulung : 3.10.2014)'- MdI W.P K.L  '(digulung : 26.10.2016)'Kencana Advisory Corporate,55,55,18.9.2010,1.12.2016
,11,Kelantan,"Taman Seri Jaza Machang, Machang",Nusajaza Development Sdn Bhd (Digulung : 30.4.2017)'- Kencana Corporate Advisory,69,69,30.4.2010,1.12.2016
,12,Kelantan,"Taman Jaza Perdana, Tanah Merah",Nusajaza Development Sdn Bhd (Digulung : 30.4.2017)'- Kencana Corporate Advisory,447,447,30.8.2011,1.12.2016
,13,Kelantan,"Taman Desa Jaza Lubok Jambu 2, Ketereh",Nusajaza Development Sdn Bhd (Digulung : 30.4.2017)'- Kencana Corporate Advisory,71,71,26.8.2012,1.12.2016
,14,Kelantan,"Taman Jaza Idaman Pak Badol, Bachok",Nusajaza Development Sdn Bhd (Digulung : 30.4.2017)'- Kencana Corporate Advisory,20,20,15.6.2012,1.12.2016
,15,Negeri Sembilan,"Taman Pinggiran Felda, Gemas",Resolute Fortune Sdn Bhd(digulung : 29.4.2011)'- MdI Seremban,335,320,20.4.2007,31.1.2017
,16,Negeri Sembilan,"Perpaduan Heights Fasa 1 & 2,Kuala Pilah",Kemajuan Perpaduan Sdn Bhd(digulung : 8.5.2012)'- Crowe Horwath Advisory Sdn Bhd,231,213,2001,31.12.2006
,17,Pahang,"Perumahan Permatang Shahbandar, Maran.",Salam Properties Sdn Bhd (digulung : 2012)- Mdi Selangor (digulung : ) - StevenZac Consulting Sdn Bhd,74,19,31.1.1996,18.9.2013
