Year,Month,Code,Import,Export,DIFF
2016,12,AF,1539,7282454,-7280915
2016,12,AL,83768,526938,-443170
2016,12,DZ,1179,14060570,-14059391
2016,12,AS,24691,43055,-18364
2016,12,AD,0,64243,-64243
2016,12,AO,11723,11722796,-11711073
2016,12,AI,0,340,-340
2016,12,AQ,0,1177,-1177
2016,12,AG,14,84744,-84730
2016,12,AR,82559747,9376036,73183711
2016,12,AM,5411,552258,-546847
2016,12,AU,362697706,624719780,-262022074
2016,12,AT,40464766,7685024,32779742
2016,12,AZ,4383,980219,-975836
2016,12,BS,15915,107480,-91565
2016,12,BH,35225999,4743645,30482354
2016,12,BD,13310382,81185253,-67874871
2016,12,BB,951,193845,-192894
2016,12,BY,4501636,184154,4317482
2016,12,BE,44942475,96217033,-51274558
2016,12,BZ,0,107393,-107393
2016,12,BJ,0,22425390,-22425390
2016,12,BM,0,82496,-82496
2016,12,BT,1029,128043,-127014
2016,12,BO,980315,969953,10362
2016,12,BA,353,20433,-20080
2016,12,BW,0,267808,-267808
2016,12,BR,207372453,69173840,138198613
2016,12,VG,0,3740838,-3740838
2016,12,BN,4001557,42847950,-38846393
2016,12,BG,2923834,5969641,-3045807
2016,12,BF,184846,214818,-29972
2016,12,KH,16469055,17148423,-679368
2016,12,CM,7775830,7541633,234197
2016,12,CA,59422863,55256422,4166441
2016,12,CV,0,62925,-62925
2016,12,CF,155865,229114,-73249
2016,12,CL,11241599,10513279,728320
2016,12,CX,0,9605,-9605
2016,12,CO,3925899,6466893,-2540994
2016,12,KM,0,480814,-480814
2016,12,CG,1061159,2273058,-1211899
2016,12,CD,12982499,1414041,11568458
2016,12,CK,0,12980,-12980
2016,12,CR,1639023,4256294,-2617271
2016,12,CI,34310273,5799820,28510453
2016,12,HR,393267,1660542,-1267275
2016,12,CU,161585,85452,76133
2016,12,CW,375,63067,-62692
2016,12,CY,686754,587131,99623
2016,12,CZ,14742199,27598956,-12856757
2016,12,KP,0,83718,-83718
2016,12,DK,13302733,13056047,246686
2016,12,DJ,0,7347059,-7347059
2016,12,DM,0,39105,-39105
2016,12,DO,562993,4048175,-3485182
2016,12,EC,6768434,1440565,5327869
2016,12,EG,18327230,56945898,-38618668
2016,12,SV,674,1312728,-1312054
2016,12,GQ,0,1303791,-1303791
2016,12,ER,0,497273,-497273
2016,12,EE,406341,3324432,-2918091
2016,12,ET,45594,12271685,-12226091
2016,12,FO,33767,0,33767
